line;met;real;feet;feet_number;meter_quality;line_n;title;author;meter_nuber
 What was he doing, the great god Pan,;--+--+--+--+;+--+--+++; What was |he do|ing, the great |god Pan,;tetrameter;anapestic;1;A Musical Instrument(1860);Elizabeth Barrett Browning;
Down in the reeds by the river?;--+--+--+;+--+--+-;Down in |the reeds |by the river?;trimeter;anapestic;2;A Musical Instrument(1860);Elizabeth Barrett Browning;
Spreading ruin and scattering ban,;--+--+--+--+;+-+--+--+;Spreading |ruin |and scat|tering ban,;tetrameter;anapestic;3;A Musical Instrument(1860);Elizabeth Barrett Browning;
 Splashing and paddling with hoofs of a goat,;--+--+--+--+;+--+--+--+; Splashing |and pad|dling with hoofs |of a goat,;tetrameter;anapestic;4;A Musical Instrument(1860);Elizabeth Barrett Browning;
And breaking the golden lilies afloat;--+--+--+--+;-+--+-+--+;And break|ing the gold|en lil|ies afloat;tetrameter;anapestic;5;A Musical Instrument(1860);Elizabeth Barrett Browning;
With the dragon-fly on the river.;--+--+--+;--+-+--+-;With the drag|on-fly |on the river.;trimeter;anapestic;6;A Musical Instrument(1860);Elizabeth Barrett Browning;
He tore out a reed, the great god Pan,;--+--+--+--+;-+--+-+++;He tore |out a reed, |the great |god Pan,;tetrameter;anapestic;7;A Musical Instrument(1860);Elizabeth Barrett Browning;
From the deep cool bed of the river.;--+--+--+;--+++--+-;From the deep |cool bed |of the river.;trimeter;anapestic;8;A Musical Instrument(1860);Elizabeth Barrett Browning;
The limpid water turbidly ran,;--+--+--+--+;-+-+-+--+;The limp|id wat|er turb|idly ran,;tetrameter;anapestic;9;A Musical Instrument(1860);Elizabeth Barrett Browning;
And the broken lilies a-dying lay,;--+--+--+--+;--+-+--+-+;And the bro|ken lil|ies a-dy|ing lay,;tetrameter;anapestic;10;A Musical Instrument(1860);Elizabeth Barrett Browning;
And the dragon-fly had fled away,;--+--+--+--+;--+-+-+-+;And the drag|on-fly |had fled |away,;tetrameter;anapestic;11;A Musical Instrument(1860);Elizabeth Barrett Browning;
Ere he brought it out of the river.;--+--+--+;--+-+--+-;Ere he brought |it out |of the river.;trimeter;anapestic;12;A Musical Instrument(1860);Elizabeth Barrett Browning;
High on the shore sate the great god Pan,;--+--+--+--+;+--+--+++;High on |the shore |sate the great |god Pan,;tetrameter;anapestic;13;A Musical Instrument(1860);Elizabeth Barrett Browning;
"While turbidly flowed the river;";--+--+--+;-+--+-+-;"While tur|bidly flowed |the river;";trimeter;anapestic;14;A Musical Instrument(1860);Elizabeth Barrett Browning;
And hacked and hewed as a great god can,;--+--+--+--+;-+-+--+++;And hacked |and hewed |as a great |god can,;tetrameter;anapestic;15;A Musical Instrument(1860);Elizabeth Barrett Browning;
With his hard bleak steel at the patient reed,;--+--+--+--+;--+++--+-+;With his hard |bleak steel |at the pat|ient reed,;tetrameter;anapestic;16;A Musical Instrument(1860);Elizabeth Barrett Browning;
Till there was not a sign of a leaf indeed;--+--+--+--+;--+--+--+-+;Till there was |not a sign |of a leaf |indeed;tetrameter;anapestic;17;A Musical Instrument(1860);Elizabeth Barrett Browning;
To prove it fresh from the river.;--+--+--+;-+-+--+-;To prove |it fresh |from the river.;trimeter;anapestic;18;A Musical Instrument(1860);Elizabeth Barrett Browning;
He cut it short, did the great god Pan,;--+--+--+--+;-+-+--+++;He cut |it short, |did the great |god Pan,;tetrameter;anapestic;19;A Musical Instrument(1860);Elizabeth Barrett Browning;
(How tall it stood in the river!);--+--+--+;-+-+--+-;(How tall |it stood |in the river!);trimeter;anapestic;20;A Musical Instrument(1860);Elizabeth Barrett Browning;
Then drew the pith, like the heart of a man,;--+--+--+--+;-+-+--+--+;Then drew |the pith, |like the heart |of a man,;tetrameter;anapestic;21;A Musical Instrument(1860);Elizabeth Barrett Browning;
Steadily from the outside ring,;--+--+--+--+;+--+-+++|+--+-+-+;Steadi|ly from |the out|side ring,;tetrameter;anapestic;22;A Musical Instrument(1860);Elizabeth Barrett Browning;
And notched the poor dry empty thing;--+--+--+--+;-+-+++-+;And notched |the poor |dry emp|ty thing;tetrameter;anapestic;23;A Musical Instrument(1860);Elizabeth Barrett Browning;
In holes, as he sate by the river.;--+--+--+;-+--+--+-;In holes, |as he sate |by the river.;trimeter;anapestic;24;A Musical Instrument(1860);Elizabeth Barrett Browning;
"""This is the way,"" laughed the great god Pan,";--+--+--+--+;+--+--+++;"""This is |the way,"" |laughed the great |god Pan,";tetrameter;anapestic;25;A Musical Instrument(1860);Elizabeth Barrett Browning;
(Laughed while he sate by the river,) ;--+--+--+;+--+--+-;(Laughed while |he sate |by the river,) ;trimeter;anapestic;26;A Musical Instrument(1860);Elizabeth Barrett Browning;
"""The only way since gods began";--+--+--+--+;-+-+-+-+;"""The on|ly way |since gods |began";tetrameter;anapestic;27;A Musical Instrument(1860);Elizabeth Barrett Browning;
"To make sweet music, they could succeed.""";--+--+--+--+;-+++-+--+;"To make |sweet mu|sic, they |could succeed.""";tetrameter;anapestic;28;A Musical Instrument(1860);Elizabeth Barrett Browning;
Then, dropping his mouth to a hole in the reed,;--+--+--+--+;-+--+--+--+;Then, drop|ping his mouth |to a hole |in the reed,;tetrameter;anapestic;29;A Musical Instrument(1860);Elizabeth Barrett Browning;
He blew in power by the river.;--+--+--+;-+-+--+-;He blew |in power |by the river.;trimeter;anapestic;30;A Musical Instrument(1860);Elizabeth Barrett Browning;
Sweet, sweet, sweet, O Pan!;--+--+--+--+;+++-+;Sweet, |sweet, |sweet, |O Pan!;tetrameter;anapestic;31;A Musical Instrument(1860);Elizabeth Barrett Browning;
Piercing sweet by the river!;--+--+--+;+-+--+-;Piercing |sweet by |the river!;trimeter;anapestic;32;A Musical Instrument(1860);Elizabeth Barrett Browning;
Blinding sweet, O great god Pan!;--+--+--+--+;+-+-+++;Blind|ing sweet, |O great |god Pan!;tetrameter;anapestic;33;A Musical Instrument(1860);Elizabeth Barrett Browning;
The sun on the hill forgot to  die,;--+--+--+--+;-+--+-+-+;The sun |on the hill |forgot |to  die,;tetrameter;anapestic;34;A Musical Instrument(1860);Elizabeth Barrett Browning;
And the lilies revived, and the dragon-fly;--+--+--+--+;--+--+--+-+;And the li|lies revived, |and the drag|on-fly;tetrameter;anapestic;35;A Musical Instrument(1860);Elizabeth Barrett Browning;
Came back to dream on the river.;--+--+--+;-+-+--+-;Came back |to dream |on the river.;trimeter;anapestic;36;A Musical Instrument(1860);Elizabeth Barrett Browning;
Yet half a beast is the great  god Pan,;--+--+--+--+;-+-+--+++;Yet half |a beast |is the great | god Pan,;tetrameter;anapestic;37;A Musical Instrument(1860);Elizabeth Barrett Browning;
To laugh as he sits by the river,;--+--+--+;-+--+--+-;To laugh |as he sits |by the river,;trimeter;anapestic;38;A Musical Instrument(1860);Elizabeth Barrett Browning;
Making a Poet out of a man:;--+--+--+--+;+--+-+--+;Making |a Po|et out |of a man:;tetrameter;anapestic;39;A Musical Instrument(1860);Elizabeth Barrett Browning;
The true gods sigh for the cost and pain—;--+--+--+--+;-+++--+-+;The true |gods sigh |for the cost |and pain—;tetrameter;anapestic;40;A Musical Instrument(1860);Elizabeth Barrett Browning;
For the reed which grows nevermore again;--+--+--+--+;--+-+--+-+;For the reed |which grows |nevermore |again;tetrameter;anapestic;41;A Musical Instrument(1860);Elizabeth Barrett Browning;
As a reed with the reeds in the river.;--+--+--+;--+--+--+-;As a reed |with the reeds |in the river.;trimeter;anapestic;42;A Musical Instrument(1860);Elizabeth Barrett Browning;
"A slumber did my spirit seal;";-+-+-+-+;-+-+-+-+;"A slum|ber did |my spir|it seal;";tetrameter;iambic;1;A Slumber Did My Spirit Seal(1800);William Wordsworth;
I had no human fears:;-+-+-+;--++-+|-+-+-+;I had |no hu|man fears:;trimeter;iambic;2;A Slumber Did My Spirit Seal(1800);William Wordsworth;
She seemed a thing that could not feel;-+-+-+-+;-+-+-+-+;She seemed |a thing |that could |not feel;tetrameter;iambic;3;A Slumber Did My Spirit Seal(1800);William Wordsworth;
The touch of earthly years.;-+-+-+;-+-+-+;The touch |of earth|ly years.;trimeter;iambic;4;A Slumber Did My Spirit Seal(1800);William Wordsworth;
"No motion has she now, no force;";-+-+-+-+;++---+++|-+-+-+++|++-+-+++;"No mo|tion has |she now, |no force;";tetrameter;iambic;5;A Slumber Did My Spirit Seal(1800);William Wordsworth;
"She neither hears nor sees;";-+-+-+;-+-+-+;"She nei|ther hears |nor sees;";trimeter;iambic;6;A Slumber Did My Spirit Seal(1800);William Wordsworth;
Rolled round in earth's diurnal course,;-+-+-+-+;++-+-+-+;Rolled round |in earth's |diur|nal course,;tetrameter;iambic;7;A Slumber Did My Spirit Seal(1800);William Wordsworth;
With rocks and stones and trees.;-+-+-+;-+-+-+;With rocks |and stones |and trees.;trimeter;iambic;8;A Slumber Did My Spirit Seal(1800);William Wordsworth;
Nor less, when spring had warmed the cultured Vale,;-+-+-+-+-+;-+-+-+-+-+;Nor less, |when spring |had warmed |the cul|tured Vale,;pentameter;iambic;1;Above the Raven’s Nest (The Prelude, I.326-39)(1805);William Wordsworth;
Moved we as plunderers where the mother bird;-+-+-+-+-+;+--+--+-+-+;Moved we |as plun|derers where |the moth|er bird;pentameter;iambic;2;Above the Raven’s Nest (The Prelude, I.326-39)(1805);William Wordsworth;
"Had in high places built her lodge; though mean";-+-+-+-+-+;--++-+-+-+;"Had in |high plac|es built |her lodge; |though mean";pentameter;iambic;3;Above the Raven’s Nest (The Prelude, I.326-39)(1805);William Wordsworth;
Our object and inglorious, yet the end;-+-+-+-+-+;-+-+-+--+-+;Our ob|ject and |inglor|ious, yet |the end;pentameter;iambic;4;Above the Raven’s Nest (The Prelude, I.326-39)(1805);William Wordsworth;
Was not ignoble. Oh! when I have hung;-+-+-+-+-+;-+-+-+-+-+;Was not |igno|ble. Oh! |when I |have hung;pentameter;iambic;5;Above the Raven’s Nest (The Prelude, I.326-39)(1805);William Wordsworth;
Above the raven's nest, by knots of grass;-+-+-+-+-+;-+-+-+-+-+;Above |the ra|ven's nest, |by knots |of grass;pentameter;iambic;6;Above the Raven’s Nest (The Prelude, I.326-39)(1805);William Wordsworth;
And half-inch fissures in the slippery rock;-+-+-+-+-+;-+++---+--+;And half-|inch fis|sures in |the slip|pery rock;pentameter;iambic;7;Above the Raven’s Nest (The Prelude, I.326-39)(1805);William Wordsworth;
But ill sustained, and almost (so it seemed);-+-+-+-+-+;-+-+-++--+;But ill |sustained, |and al|most (so |it seemed);pentameter;iambic;8;Above the Raven’s Nest (The Prelude, I.326-39)(1805);William Wordsworth;
Suspended by the blast that blew amain,;-+-+-+-+-+;-+-+-+-+-+;Suspend|ed by |the blast |that blew |amain,;pentameter;iambic;9;Above the Raven’s Nest (The Prelude, I.326-39)(1805);William Wordsworth;
Shouldering the naked crag, oh, at that time;-+-+-+-+-+;+---+-++-++;Shoulder|ing the na|ked crag, |oh, at |that time;pentameter;iambic;10;Above the Raven’s Nest (The Prelude, I.326-39)(1805);William Wordsworth;
While on the perilous ridge I hung alone,;-+-+-+-+-+;-+-+--+-+-+;While on |the per|ilous ridge |I hung |alone,;pentameter;iambic;11;Above the Raven’s Nest (The Prelude, I.326-39)(1805);William Wordsworth;
With what strange utterance did the loud dry wind;-+-+-+-+-+;-+++----+++;With what |strange ut|terance |did the loud |dry wind;pentameter;iambic;12;Above the Raven’s Nest (The Prelude, I.326-39)(1805);William Wordsworth;
Blow through my ear! the sky seemed not a sky;-+-+-+-+-+;+--+-+-+-+;Blow through |my ear! |the sky |seemed not |a sky;pentameter;iambic;13;Above the Raven’s Nest (The Prelude, I.326-39)(1805);William Wordsworth;
Of earth—and with what motion moved the clouds!;-+-+-+-+-+;-+--++-+-+;Of earth—|and with |what mo|tion moved |the clouds!;pentameter;iambic;14;Above the Raven’s Nest (The Prelude, I.326-39)(1805);William Wordsworth;
That light whose smile kindles the Universe,;-+-+-+-+-+;-+-++--+-+;That light |whose smile |kindles |the U|niverse,;pentameter;iambic;1;Adonais (stanzas 54-55)(1821);Percy Bysshe Shelley;
That Beauty in which all things work and move,;-+-+-+-+-+;-+---+++-+;That Beau|ty in |which all |things work |and move,;pentameter;iambic;2;Adonais (stanzas 54-55)(1821);Percy Bysshe Shelley;
That Benediction which the eclipsing curse;-+-+-+-+-+;-+-+-+--+-+;That Ben|edic|tion which |the eclips|ing curse;pentameter;iambic;3;Adonais (stanzas 54-55)(1821);Percy Bysshe Shelley;
Of birth can quench not, that sustaining Love;-+-+-+-+-+;-+-++--+-+;Of birth |can quench |not, that |sustain|ing Love;pentameter;iambic;4;Adonais (stanzas 54-55)(1821);Percy Bysshe Shelley;
Which through the web of being blindly wove;-+-+-+-+-+;-+-+-+-+-+;Which through |the web |of be|ing blind|ly wove;pentameter;iambic;5;Adonais (stanzas 54-55)(1821);Percy Bysshe Shelley;
By man and beast and earth and air and sea,;-+-+-+-+-+;-+-+-+-+-+;By man |and beast |and earth |and air |and sea,;pentameter;iambic;6;Adonais (stanzas 54-55)(1821);Percy Bysshe Shelley;
Burns bright or dim as each are mirrors of;-+-+-+-+-+;++-+-+-+-+;Burns bright |or dim |as each |are mir|rors of;pentameter;iambic;7;Adonais (stanzas 54-55)(1821);Percy Bysshe Shelley;
"The fire for which all thirst; now beams on me,";-+-+-+-+-+;-+--+++++-+|-+--+++-+-+;"The fi|re for which |all thirst; |now beams |on me,";pentameter;iambic;8;Adonais (stanzas 54-55)(1821);Percy Bysshe Shelley;
Consuming the last clouds of cold mortality.;-+-+-+-+-+-+;-+--++-+-+-+;Consum|ing the |last clouds |of cold |mortal|ity.;hexameter;iambic;9;Adonais (stanzas 54-55)(1821);Percy Bysshe Shelley;
The breath whose might I have invoked in song;-+-+-+-+-+;-+-+-+-+-+;The breath |whose might |I have |invoked |in song;pentameter;iambic;10;Adonais (stanzas 54-55)(1821);Percy Bysshe Shelley;
"Descends on me; my spirit's bark is driven";-+-+-+-+-+;-+-+-+-+-+-;"Descends |on me; |my spir|it's bark |is driven";pentameter;iambic;11;Adonais (stanzas 54-55)(1821);Percy Bysshe Shelley;
Far from the shore, far from the trembling throng;-+-+-+-+-+;+--++--+--+;Far from |the shore, |far from |the trem|bling throng;pentameter;iambic;12;Adonais (stanzas 54-55)(1821);Percy Bysshe Shelley;
"Whose sails were never to the tempest given;";-+-+-+-+-+;-+-+-+-+-+-;"Whose sails |were nev|er to |the tem|pest given;";pentameter;iambic;13;Adonais (stanzas 54-55)(1821);Percy Bysshe Shelley;
The massy earth and sphered skies are riven!;-+-+-+-+-+;-+-+-+-+-+-;The mass|y earth |and spher|ed skies |are riven!;pentameter;iambic;14;Adonais (stanzas 54-55)(1821);Percy Bysshe Shelley;
"I am borne darkly, fearfully, afar;";-+-+-+-+-+;--++-+-+-+;"I am |borne dark|ly, fear|fully, |afar;";pentameter;iambic;15;Adonais (stanzas 54-55)(1821);Percy Bysshe Shelley;
Whilst, burning through the inmost veil of Heaven,;-+-+-+-+-+-;-+-+-+-+-+-;Whilst, burn|ing through |the in|most veil |of Heaven,;pentameter;iambic;16;Adonais (stanzas 54-55)(1821);Percy Bysshe Shelley;
The soul of Adonais, like a star,;-+-+-+-+-+;-+-+-+-+-+;The soul |of A|dona|is, like |a star,;pentameter;iambic;17;Adonais (stanzas 54-55)(1821);Percy Bysshe Shelley;
Beacons from the abode where the Eternal are.;-+-+-+-+-+-+;+-+--++--+-+;Beacons |from the |abode |where the |Eter|nal are.;hexameter;iambic;18;Adonais (stanzas 54-55)(1821);Percy Bysshe Shelley;
 Ah! Sun-flower weary of time,;--+--+--+;++--+--+; Ah! Sun|-flower wear|y of time,;trimeter;anapestic;1;Ah! Sun-flower(1794);William Blake;
